district,taluka,status
Ahmedabad,,source-mapping-pending
Amreli,,source-mapping-pending
Anand,,source-mapping-pending
Aravalli,,source-mapping-pending
Banaskantha,,source-mapping-pending
Bharuch,,source-mapping-pending
Bhavnagar,,source-mapping-pending
Botad,,source-mapping-pending
Chhota Udaipur,,source-mapping-pending
Dahod,,source-mapping-pending
Devbhoomi Dwarka,,source-mapping-pending
Dang,,source-mapping-pending
Gandhinagar,,source-mapping-pending
Gir Somnath,,source-mapping-pending
Jamnagar,,source-mapping-pending
Junagadh,,source-mapping-pending
Kachchh,,source-mapping-pending
Kheda,,source-mapping-pending
Mahesana,,source-mapping-pending
Mahisagar,,source-mapping-pending
Morbi,,source-mapping-pending
Narmada,,source-mapping-pending
Navsari,,source-mapping-pending
Panchmahal,,source-mapping-pending
Patan,,source-mapping-pending
Porbandar,,source-mapping-pending
Rajkot,,source-mapping-pending
Sabarkantha,,source-mapping-pending
Surat,,source-mapping-pending
Surendranagar,,source-mapping-pending
Tapi,,source-mapping-pending
Vadodara,,source-mapping-pending
Valsad,,source-mapping-pending
Vav-Tharad,,source-mapping-pending
